0.000000	 0.000000e+000
0.005000	 -1.270538e-013
0.010000	 -1.598181e-013
0.015000	 -1.792057e-013
0.020000	 -1.916184e-013
0.025000	 -1.998352e-013
0.030000	 -2.055058e-013
0.035000	 -2.096285e-013
0.040000	 -2.128080e-013
0.045000	 -2.154101e-013
0.050000	 -2.176556e-013
0.055000	 -2.196777e-013
0.060000	 -2.215563e-013
0.065000	 -2.233392e-013
0.070000	 -2.250548e-013
0.075000	 -2.267198e-013
0.080000	 -2.283439e-013
0.085000	 -2.299327e-013
0.090000	 -2.314892e-013
0.095000	 -2.330151e-013
0.100000	 -2.345112e-013
0.105000	 -2.359779e-013
0.110000	 -2.374154e-013
0.115000	 -2.388236e-013
0.120000	 -2.402027e-013
0.125000	 -2.415528e-013
0.130000	 -2.428737e-013
0.135000	 -2.441658e-013
0.140000	 -2.454292e-013
0.145000	 -2.466640e-013
0.150000	 -2.478706e-013
0.155000	 -2.490492e-013
0.160000	 -2.502002e-013
0.165000	 -2.513239e-013
0.170000	 -2.524208e-013
0.175000	 -2.534912e-013
0.180000	 -2.545355e-013
0.185000	 -2.555543e-013
0.190000	 -2.565479e-013
0.195000	 -2.575168e-013
0.200000	 -2.584616e-013
0.205000	 -2.593826e-013
0.210000	 -2.602803e-013
0.215000	 -2.611553e-013
0.220000	 -2.620080e-013
0.225000	 -2.628389e-013
0.230000	 -2.636484e-013
0.235000	 -2.644372e-013
0.240000	 -2.652055e-013
0.245000	 -2.659539e-013
0.250000	 -2.666829e-013
0.255000	 -2.673929e-013
0.260000	 -2.680844e-013
0.265000	 -2.687578e-013
0.270000	 -2.694135e-013
0.275000	 -2.700520e-013
0.280000	 -2.706736e-013
0.285000	 -2.712789e-013
0.290000	 -2.718682e-013
0.295000	 -2.724419e-013
0.300000	 -2.730004e-013
0.305000	 -2.735441e-013
0.310000	 -2.740734e-013
0.315000	 -2.745886e-013
0.320000	 -2.750901e-013
0.325000	 -2.755782e-013
0.330000	 -2.760533e-013
0.335000	 -2.765157e-013
0.340000	 -2.769657e-013
0.345000	 -2.774037e-013
0.350000	 -2.778300e-013
0.355000	 -2.782448e-013
0.360000	 -2.786486e-013
0.365000	 -2.790415e-013
0.370000	 -2.794238e-013
0.375000	 -2.797959e-013
0.380000	 -2.801580e-013
0.385000	 -2.805103e-013
0.390000	 -2.808531e-013
0.395000	 -2.811868e-013
0.400000	 -2.815114e-013
0.405000	 -2.818273e-013
0.410000	 -2.821346e-013
0.415000	 -2.824337e-013
0.420000	 -2.827247e-013
0.425000	 -2.830078e-013
0.430000	 -2.832833e-013
0.435000	 -2.835513e-013
0.440000	 -2.838121e-013
0.445000	 -2.840658e-013
0.450000	 -2.843127e-013
0.455000	 -2.845529e-013
0.460000	 -2.847866e-013
0.465000	 -2.850139e-013
0.470000	 -2.852351e-013
0.475000	 -2.854504e-013
0.480000	 -2.856597e-013
0.485000	 -2.858634e-013
0.490000	 -2.860616e-013
0.495000	 -2.862544e-013
0.500000	 -2.864420e-013
0.505000	 -2.866245e-013
0.510000	 -2.868020e-013
0.515000	 -2.869748e-013
0.520000	 -2.871428e-013
0.525000	 -2.873063e-013
0.530000	 -2.874653e-013
0.535000	 -2.876201e-013
0.540000	 -2.877706e-013
0.545000	 -2.879171e-013
0.550000	 -2.880596e-013
0.555000	 -2.881982e-013
0.560000	 -2.883331e-013
0.565000	 -2.884643e-013
0.570000	 -2.885919e-013
0.575000	 -2.887161e-013
0.580000	 -2.888370e-013
0.585000	 -2.889545e-013
0.590000	 -2.890689e-013
0.595000	 -2.891802e-013
0.600000	 -2.892885e-013
0.605000	 -2.893938e-013
0.610000	 -2.894963e-013
0.615000	 -2.895961e-013
0.620000	 -2.896931e-013
0.625000	 -2.897876e-013
0.630000	 -2.898795e-013
0.635000	 -2.899689e-013
0.640000	 -2.900559e-013
0.645000	 -2.901406e-013
0.650000	 -2.902230e-013
0.655000	 -2.903032e-013
0.660000	 -2.903813e-013
0.665000	 -2.904572e-013
0.670000	 -2.905312e-013
0.675000	 -2.906032e-013
0.680000	 -2.906732e-013
0.685000	 -2.907414e-013
0.690000	 -2.908078e-013
0.695000	 -2.908724e-013
0.700000	 -2.909353e-013
0.705000	 -2.909966e-013
0.710000	 -2.910562e-013
0.715000	 -2.911143e-013
0.720000	 -2.911709e-013
0.725000	 -2.912259e-013
0.730000	 -2.912796e-013
0.735000	 -2.913318e-013
0.740000	 -2.913827e-013
0.745000	 -2.914323e-013
0.750000	 -2.914806e-013
0.755000	 -2.915276e-013
0.760000	 -2.915734e-013
0.765000	 -2.916181e-013
0.770000	 -2.916617e-013
0.775000	 -2.917041e-013
0.780000	 -2.917454e-013
0.785000	 -2.917858e-013
0.790000	 -2.918251e-013
0.795000	 -2.918634e-013
0.800000	 -2.919008e-013
0.805000	 -2.919372e-013
0.810000	 -2.919728e-013
0.815000	 -2.920075e-013
0.820000	 -2.920413e-013
0.825000	 -2.920744e-013
0.830000	 -2.921066e-013
0.835000	 -2.921381e-013
0.840000	 -2.921688e-013
0.845000	 -2.921988e-013
0.850000	 -2.922281e-013
0.855000	 -2.922567e-013
0.860000	 -2.922847e-013
0.865000	 -2.923120e-013
0.870000	 -2.923387e-013
0.875000	 -2.923648e-013
0.880000	 -2.923903e-013
0.885000	 -2.924153e-013
0.890000	 -2.924397e-013
0.895000	 -2.924636e-013
0.900000	 -2.924870e-013
0.905000	 -2.925099e-013
0.910000	 -2.925323e-013
0.915000	 -2.925542e-013
0.920000	 -2.925757e-013
0.925000	 -2.925967e-013
0.930000	 -2.926174e-013
0.935000	 -2.926376e-013
0.940000	 -2.926574e-013
0.945000	 -2.926769e-013
0.950000	 -2.926960e-013
0.955000	 -2.927147e-013
0.960000	 -2.927331e-013
0.965000	 -2.927511e-013
0.970000	 -2.927689e-013
0.975000	 -2.927863e-013
0.980000	 -2.928034e-013
0.985000	 -2.928202e-013
0.990000	 -2.928368e-013
0.995000	 -2.928531e-013
1.000000	 -2.928691e-013
1.005000	 -2.928849e-013
1.010000	 -2.929004e-013
1.015000	 -2.929157e-013
1.020000	 -2.929308e-013
1.025000	 -2.929457e-013
1.030000	 -2.929604e-013
1.035000	 -2.929748e-013
1.040000	 -2.929891e-013
1.045000	 -2.930032e-013
1.050000	 -2.930171e-013
1.055000	 -2.930309e-013
1.060000	 -2.930444e-013
1.065000	 -2.930579e-013
1.070000	 -2.930711e-013
1.075000	 -2.930843e-013
1.080000	 -2.930973e-013
1.085000	 -2.931101e-013
1.090000	 -2.931229e-013
1.095000	 -2.931355e-013
1.100000	 -2.931480e-013
1.105000	 -2.931604e-013
1.110000	 -2.931726e-013
1.115000	 -2.931848e-013
1.120000	 -2.931969e-013
1.125000	 -2.932089e-013
1.130000	 -2.932208e-013
1.135000	 -2.932327e-013
1.140000	 -2.932444e-013
1.145000	 -2.932561e-013
1.150000	 -2.932677e-013
1.155000	 -2.932792e-013
1.160000	 -2.932907e-013
1.165000	 -2.933022e-013
1.170000	 -2.933135e-013
1.175000	 -2.933248e-013
1.180000	 -2.933361e-013
1.185000	 -2.933473e-013
1.190000	 -2.933585e-013
1.195000	 -2.933697e-013
1.200000	 -2.933808e-013
1.205000	 -2.933919e-013
1.210000	 -2.934029e-013
1.215000	 -2.934139e-013
1.220000	 -2.934249e-013
1.225000	 -2.934359e-013
1.230000	 -2.934469e-013
1.235000	 -2.934578e-013
1.240000	 -2.934687e-013
1.245000	 -2.934796e-013
1.250000	 -2.934905e-013
1.255000	 -2.935014e-013
1.260000	 -2.935123e-013
1.265000	 -2.935232e-013
1.270000	 -2.935341e-013
1.275000	 -2.935449e-013
1.280000	 -2.935558e-013
1.285000	 -2.935667e-013
1.290000	 -2.935776e-013
1.295000	 -2.935885e-013
1.300000	 -2.935994e-013
1.305000	 -2.936103e-013
1.310000	 -2.936212e-013
1.315000	 -2.936321e-013
1.320000	 -2.936431e-013
1.325000	 -2.936540e-013
1.330000	 -2.936650e-013
1.335000	 -2.936760e-013
1.340000	 -2.936870e-013
1.345000	 -2.936980e-013
1.350000	 -2.937090e-013
1.355000	 -2.937201e-013
1.360000	 -2.937312e-013
1.365000	 -2.937423e-013
1.370000	 -2.937534e-013
1.375000	 -2.937646e-013
1.380000	 -2.937758e-013
1.385000	 -2.937870e-013
1.390000	 -2.937982e-013
1.395000	 -2.938095e-013
1.400000	 -2.938208e-013
1.405000	 -2.938321e-013
1.410000	 -2.938435e-013
1.415000	 -2.938549e-013
1.420000	 -2.938663e-013
1.425000	 -2.938777e-013
1.430000	 -2.938892e-013
1.435000	 -2.939007e-013
1.440000	 -2.939123e-013
1.445000	 -2.939239e-013
1.450000	 -2.939355e-013
1.455000	 -2.939471e-013
1.460000	 -2.939588e-013
1.465000	 -2.939706e-013
1.470000	 -2.939823e-013
1.475000	 -2.939941e-013
1.480000	 -2.940060e-013
1.485000	 -2.940178e-013
1.490000	 -2.940297e-013
1.495000	 -2.940417e-013
1.500000	 -2.940537e-013
1.505000	 -2.940657e-013
1.510000	 -2.940778e-013
1.515000	 -2.940899e-013
1.520000	 -2.941020e-013
1.525000	 -2.941142e-013
1.530000	 -2.941264e-013
1.535000	 -2.941387e-013
1.540000	 -2.941509e-013
1.545000	 -2.941633e-013
1.550000	 -2.941757e-013
1.555000	 -2.941881e-013
1.560000	 -2.942005e-013
1.565000	 -2.942130e-013
1.570000	 -2.942256e-013
1.575000	 -2.942382e-013
1.580000	 -2.942508e-013
1.585000	 -2.942634e-013
1.590000	 -2.942761e-013
1.595000	 -2.942889e-013
1.600000	 -2.943017e-013
1.605000	 -2.943145e-013
1.610000	 -2.943274e-013
1.615000	 -2.943403e-013
1.620000	 -2.943532e-013
1.625000	 -2.943662e-013
1.630000	 -2.943792e-013
1.635000	 -2.943923e-013
1.640000	 -2.944054e-013
1.645000	 -2.944185e-013
1.650000	 -2.944317e-013
1.655000	 -2.944449e-013
1.660000	 -2.944582e-013
1.665000	 -2.944715e-013
1.670000	 -2.944849e-013
1.675000	 -2.944983e-013
1.680000	 -2.945117e-013
1.685000	 -2.945252e-013
1.690000	 -2.945387e-013
1.695000	 -2.945522e-013
1.700000	 -2.945658e-013
1.705000	 -2.945794e-013
1.710000	 -2.945931e-013
1.715000	 -2.946068e-013
1.720000	 -2.946205e-013
1.725000	 -2.946343e-013
1.730000	 -2.946481e-013
1.735000	 -2.946620e-013
1.740000	 -2.946759e-013
1.745000	 -2.946898e-013
1.750000	 -2.947038e-013
1.755000	 -2.947178e-013
1.760000	 -2.947319e-013
